Order	studyid	year	dataset	ids	mass	sex	age
61	61	AMB_071	2016	TruCulture	HIA-Null-RNAseq_S11_L004	9.8	F	5.00752909
62	62	AMB_289	2015	TruCulture	HON-NULL_S36_L006	14.7	F	18.04791239
63	63	AMB_095	2014	TruCulture	KOR-NULL_CGATGT_L004	NA	M	12.56399726
64	64	AMB_101	2014	TruCulture	LAT-NULL_GTTTCG_L004	NA	M	17.22108145
65	65	AMB_107	2014	TruCulture	LEC_NULL.pairedtrim	NA	M	9.563312799
66	66	AMB_121	2015	TruCulture	LOU-NULL_S26_L005	25.5	M	11.95071869
67	67	AMB_130	2015	TruCulture	LUV_NULL.pairedtrim	10.9	F	5.590691307
68	68	AMB_147	2014	TruCulture	NEA_NULL.pairedtrim	NA	F	5.845311431
69	69	AMB_149	2016	TruCulture	NEH-Null-RNAseq_S26_L005	19.8	M	8.054757016
70	70	other_sample	2016	TruCulture	NER-Null-RNAseq_S40_L006	22.3	M	8.807665982
71	71	AMB_290	2015	TruCulture	NIK-NULL_S39_L006	14	F	17.4017796
72	72	AMB_175	2014	TruCulture	OBL_NULL.pairedtrim	NA	M	8.24366872
73	73	AMB_202	2016	TruCulture	RAN-Null-RNAseq_S51_L008	12.8	F	15.05544148
74	74	other_sample	2016	TruCulture	RAZ-Null-RNAseq_S13_L004	11.1	F	5.719370294
75	75	AMB_205	2016	TruCulture	RIE-Null-RNAseq_S24_L005	10.1	F	4.687200548
76	76	AMB_206	2014	TruCulture	RIF_NULL.pairedtrim	NA	M	7.006160164
77	77	AMB_403	2016	TruCulture	RIG-Null-RNAseq_S34_L006	20.8	M	7.608487337
78	78	AMB_210	2016	TruCulture	SAD-Null-RNAseq_S44_L007	9.5	F	6.058863792
79	79	AMB_046	2015	TruCulture	Sample_ELA_NULL	10.1	F	6.581793292
80	80	AMB_048	2015	TruCulture	Sample_ENV_NULL	12.3	F	5.363449692
81	81	AMB_172	2015	TruCulture	Sample_NYS_NULL	11.3	F	4.752908966
82	82	AMB_212	2015	TruCulture	Sample_SAH_NULL	17.8	M	7.178644764
83	83	AMB_220	2015	TruCulture	Sample_TEL_NULL	9.7	F	5.054072553
84	84	AMB_099	2009	eLife	SRR1688477	11.2	F	7.364818617
85	85	AMB_068	2010	eLife	SRR1688478	12.8	F	7.107460643
86	86	AMB_153	2009	eLife	SRR1688479	23.9	M	11.96988364
87	87	AMB_101	2008	eLife	SRR1688480	21.9	M	11.59479808
88	88	AMB_103	2008	eLife	SRR1688481	21.7	M	8.917180014
89	89	AMB_222	2010	eLife	SRR1688482	24.9	M	10.55167693
90	90	AMB_207	2010	eLife	SRR1688483	23.6	M	9.229295003
91	91	AMB_032	2010	eLife	SRR1688484	11.9	F	6.343600274
92	92	AMB_290	2009	eLife	SRR1688485	13.5	F	11.00616016
93	93	AMB_233	2009	eLife	SRR1688486	25.4	M	13.52772074
94	94	AMB_178	2009	eLife	SRR1688487	13.2	M	5.798767967
95	95	AMB_213	2009	eLife	SRR1688488	12.9	F	10.9650924
96	96	AMB_184	2010	eLife	SRR1688489	23.1	M	18.75427789
97	97	AMB_182	2009	eLife	SRR1688490	13.9	F	9.963039014
98	98	AMB_118	2009	eLife	SRR1688491	20.9	M	16.79945243
99	99	AMB_176	2010	eLife	SRR1688492	23	M	13.229295
100	100	AMB_129	2009	eLife	SRR1688493	15.3	M	6.220396988
101	101	AMB_137	2009	eLife	SRR1688494	12.8	F	8.66255989
102	102	AMB_095	2009	eLife	SRR1688495	23.7	M	7.247091034
103	103	AMB_090	2009	eLife	SRR1688496	26.6	M	15.66324435
104	104	AMB_057	2009	eLife	SRR1688497	12.9	F	11.3155373
105	105	AMB_143	2009	eLife	SRR1688498	14.1	F	15.77002053
106	106	AMB_119	2007	eLife	SRR1688499	23.1	M	8.205338809
107	107	AMB_161	2009	eLife	SRR1688500	17.7	M	6.674880219
108	108	AMB_309	2010	eLife	SRR1688501	23.6	M	7.274469541
109	109	AMB_131	2010	eLife	SRR1688502	10.9	F	6.685831622
110	110	AMB_238	2009	eLife	SRR1688503	13	F	19.75633128
111	111	AMB_199	2010	eLife	SRR1688504	24.3	M	14.07255305
112	112	AMB_232	2009	eLife	SRR1688505	24.1	M	14.74332649
113	113	AMB_268	2008	eLife	SRR1688506	23.9	M	11.84668036
114	114	AMB_043	2010	eLife	SRR1688507	10	F	6.461327858
115	115	AMB_076	2010	eLife	SRR1688508	15.6	F	11.72347707
116	116	AMB_104	2010	eLife	SRR1688509	28.7	M	12.64887064
117	117	AMB_281	2010	eLife	SRR1688510	23.6	M	11.9890486
118	118	AMB_223	2010	eLife	SRR1688511	28.2	M	8.657084189
119	119	AMB_021	2010	eLife	SRR1688512	26.1	M	7.403148528
120	120	AMB_134	2009	eLife	SRR1688513	10.4	F	7.118412047
121	121	AMB_054	2010	eLife	SRR1688514	17.8	M	6.844626968
122	122	AMB_235	2010	eLife	SRR1688515	14.5	F	11.58658453
123	123	AMB_318	2009	eLife	SRR1688516	12.6	F	21.3744011
124	124	AMB_077	2010	eLife	SRR1688517	13.8	F	7.72347707
125	125	AMB_029	2010	eLife	SRR1688518	12.4	F	5.779603012
126	126	AMB_121	2010	eLife	SRR1688519	22.9	M	7.252566735
127	127	AMB_191	2009	eLife	SRR1688520	18	M	6.483230664
128	128	AMB_167	2010	eLife	SRR1688521	24.7	M	9.987679671
129	129	AMB_013	2010	eLife	SRR1688522	9.8	F	4.914442163
130	130	AMB_017	2010	eLife	SRR1688523	23.1	M	8.364134155
131	131	AMB_308	2010	eLife	SRR1688524	16.4	M	6.746064339
132	132	AMB_133	2010	eLife	SRR1688525	9	F	4.216290212
133	133	AMB_271	2009	eLife	SRR1688526	11.6	F	6.825462012
134	134	AMB_051	2010	eLife	SRR1688527	9.7	F	4.539356605
135	135	AMB_366	2008	eLife	SRR1688528	27.7	M	13.76043806
136	136	AMB_052	2009	eLife	SRR1688529	11.3	F	8.583162218
137	137	AMB_159	2007	eLife	SRR1688530	27	M	9.596167009
138	138	AMB_024	2009	eLife	SRR1688531	19.9	M	8.150581793
139	139	AMB_272	2010	eLife	SRR1688532	27	M	10.72689938
140	140	AMB_215	2010	eLife	SRR1688533	24.6	M	11.23340178
141	141	AMB_087	2009	eLife	SRR1688534	17.9	M	6.258726899
142	142	AMB_262	2009	eLife	SRR1688535	12.3	F	13.74948665
143	143	AMB_019	2010	eLife	SRR1688536	11.3	F	5.423682409
144	144	AMB_307	2010	eLife	SRR1688537	27.2	M	10.51060917
145	145	AMB_259	2010	eLife	SRR1688538	12.5	F	4.941820671
146	146	AMB_016	2010	eLife	SRR1688539	15.1	M	6.466803559
147	147	AMB_221	2013	TruCulture	TER_NULL_GTTTCG_L005	25.6	M	17.0513347
148	148	AMB_414	2015	TruCulture	TRU-NULL_S19_L005	14.2	M	5.63449692
149	149	AMB_224	2013	TruCulture	TUS_NULL_CGTACG_L005	23.5	M	8.106776181
150	150	AMB_228	2016	TruCulture	UNY-Null-RNAseq_S29_L005	23.2	M	8.364134155
151	151	AMB_234	2016	TruCulture	VES-Null-RNAseq_S28_L005	11.6	F	14.7871321
152	152	AMB_237	2016	TruCulture	VIG-Null-RNAseq_S30_L005	14.3	F	18.05886379
153	153	AMB_238	2015	TruCulture	VIN-NULL_S33_L006	14.5	F	25.31964408
154	154	AMB_246	2016	TruCulture	VUG-Null-RNAseq_S14_L004	12.2	F	10.01505818
155	155	AMB_258	2013	TruCulture	WEG_NULL_GAGTGG_L005	24.7	M	8.353182752
156	156	AMB_420	2016	TruCulture	WEY-Null-RNAseq_S27_L005	18.4	M	7.008898015
157	157	AMB_270	2014	TruCulture	WOC_NULL.pairedtrim	22.4	M	7.039014374
158	158	AMB_272	2014	TruCulture	WRI_NULL.pairedtrim	NA	M	14.52977413
159	159	AMB_273	2015	TruCulture	WYA-NULL_S22_L005	17.6	M	5.875427789
160	160	AMB_278	2015	TruCulture	YEL-NULL_S35_L006	14	F	6.343600274
161	161	AMB_308	2014	TruCulture	YOK_NULL.pairedtrim	NA	M	10.56536619
162	162	AMB_280	2016	TruCulture	YUG-Null-RNAseq_S19_L004	13	F	10.954141
163	163	AMB_287	2013	TruCulture	ZIZ_NULL_GTGAAA_L006	23.5	M	20.47364819
