table_s1_id	population_or_species	sample_analyzed	known_ida	sexb	recent_hybridsc	historical_hybridsc	genome_wide_anubis_ancestryd	nodup_mapq10_coveraged	percent_reads_mappedd	BioProject_WGSEQ	Paper_WGSEQ	SRR_Accession_WGSEQ	Paper_RNASEQ_1..Tung_et_al_2015_eLIFE..PRJNA269070.	Paper_RNASEQ_2..Lea_et_al_2018_PNAS..PRJNA480672.	Paper_RNASEQ_3..Anderson_et_al_bioRxiv..PRJNA731520.
149	AMB_091	Amboseli	TRUE	TRUE	F	recent	NA	0.475	1.043	99.31		this_study		NA	NA	NA
150	AMB_076	Amboseli	TRUE	TRUE	F	recent	NA	0.474	0.99	99.24		this_study		SRR1688508	NA	NA
151	AMB_369	Amboseli	TRUE	TRUE	F	recent	NA	0.474	1.416	99.03		this_study		NA	NA	NA
152	AMB_372	Amboseli	TRUE	TRUE	F	recent	NA	0.474	0.947	99.27		this_study		NA	NA	NA
153	AMB_420	Amboseli	TRUE	TRUE	M	recent	NA	0.472	0.886	99.18		this_study		NA	SRR7510440	NA
154	AMB_320	Amboseli	TRUE	TRUE	M	recent	NA	0.472	0.898	93.37		this_study		NA	NA	NA
155	AMB_068	Amboseli	TRUE	TRUE	F	recent	NA	0.47	1.313	99.28		this_study		SRR1688478	SRR7510488	NA
156	AMB_094	Amboseli	TRUE	TRUE	M	recent	NA	0.47	0.987	99.21		this_study		NA	NA	NA
157	AMB_221	Amboseli	TRUE	TRUE	M	recent	NA	0.469	1.049	99.26		this_study		NA	SRR7510413	NA
158	AMB_058	Amboseli	TRUE	TRUE	M	recent	NA	0.466	1.183	99.13		this_study		NA	NA	SRR14608269
159	AMB_164	Amboseli	TRUE	TRUE	M	recent	NA	0.462	1.065	99.29		this_study		NA	NA	NA
160	AMB_297	Amboseli	TRUE	TRUE	M	NA	NA	0.46	1.16	99.2	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151901	NA	NA	NA
161	AMB_153	Amboseli	TRUE	TRUE	M	recent	NA	0.458	1.473	99.27		this_study		SRR1688479	NA	NA
162	AMB_169	Amboseli	TRUE	TRUE	M	recent	NA	0.458	1.092	99.2		this_study		NA	NA	NA
163	AMB_149	Amboseli	TRUE	TRUE	M	recent	NA	0.457	1.023	99.22		this_study		NA	SRR7510389	NA
164	AMB_052	Amboseli	TRUE	TRUE	F	recent	NA	0.456	1.218	99.34		this_study		SRR1688529	NA	NA
165	AMB_419	Amboseli	TRUE	TRUE	M	recent	NA	0.455	0.841	99		this_study		NA	NA	SRR14608280
166	AMB_117	Amboseli	TRUE	TRUE	F	recent	NA	0.454	1.29	99.32		this_study		NA	NA	NA
167	AMB_147	Amboseli	TRUE	TRUE	F	recent	NA	0.453	1.169	99.29		this_study		NA	SRR7510387	NA
168	AMB_259	Amboseli	TRUE	TRUE	F	recent	NA	0.453	0.927	99.29		this_study		SRR1688538	NA	NA
169	AMB_265	Amboseli	TRUE	TRUE	F	recent	NA	0.452	1.053	99.3		this_study		NA	NA	SRR14608252
170	AMB_163	Amboseli	TRUE	TRUE	F	recent	NA	0.452	1.232	99.23		this_study		NA	NA	NA
171	AMB_182	Amboseli	TRUE	TRUE	F	recent	NA	0.451	0.735	99.2		this_study		SRR1688490	NA	NA
172	AMB_128	Amboseli	TRUE	TRUE	F	recent	NA	0.451	0.765	99.15		this_study		NA	NA	NA
173	AMB_049	Amboseli	TRUE	TRUE	F	NA	NA	0.451	1.165	99.12		this_study		NA	NA	SRR14608276
174	AMB_375	Amboseli	TRUE	TRUE	F	recent	NA	0.451	1.188	99.24		this_study		NA	NA	NA
175	AMB_258	Amboseli	TRUE	TRUE	M	recent	NA	0.45	1.251	99.25		this_study		NA	SRR7510442	NA
176	AMB_122	Amboseli	TRUE	TRUE	F	recent	NA	0.448	0.593	99.23		this_study		NA	NA	NA
177	AMB_172	Amboseli	TRUE	TRUE	F	recent	NA	0.448	1.072	99.3		this_study		NA	SRR7510391	NA
178	AMB_136	Amboseli	TRUE	TRUE	F	recent	NA	0.447	0.948	99.3		this_study		NA	NA	NA
179	AMB_132	Amboseli	TRUE	TRUE	M	recent	NA	0.447	0.9	99.25		this_study		NA	NA	NA
180	AMB_024	Amboseli	TRUE	TRUE	M	recent	NA	0.446	0.843	99.14		this_study		SRR1688531	NA	NA
181	AMB_302	Amboseli	TRUE	TRUE	F	NA	NA	0.445	1.123	99.28	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151907	NA	NA	NA
182	AMB_233	Amboseli	TRUE	TRUE	M	NA	NA	0.445	1.12	98.82		this_study		SRR1688486	NA	NA
183	AMB_030	Amboseli	TRUE	TRUE	M	recent	NA	0.444	1.306	99.29		this_study		NA	SRR7510461	NA
184	AMB_397	Amboseli	TRUE	TRUE	M	recent	NA	0.444	0.897	99.15		this_study		NA	NA	SRR14608274
185	AMB_333	Amboseli	TRUE	TRUE	F	recent	NA	0.444	0.906	99.29		this_study		NA	NA	NA
186	AMB_298	Amboseli	TRUE	TRUE	F	NA	NA	0.442	1.187	99.25	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151902	NA	NA	NA
187	AMB_391	Amboseli	TRUE	TRUE	M	recent	NA	0.442	0.631	98.28		this_study		NA	NA	SRR14608262
188	AMB_167	Amboseli	TRUE	TRUE	M	recent	NA	0.441	0.953	99.23		this_study		SRR1688521	NA	NA
189	AMB_336	Amboseli	TRUE	TRUE	F	recent	NA	0.439	0.867	98.95		this_study		NA	NA	NA
190	AMB_033	Amboseli	TRUE	TRUE	F	recent	NA	0.439	1.093	99.26		this_study		NA	SRR7510463	NA
191	AMB_130	Amboseli	TRUE	TRUE	F	recent	NA	0.439	1.082	99.25		this_study		NA	SRR7510495	NA
192	AMB_296	Amboseli	TRUE	TRUE	M	NA	NA	0.437	0.775	99.04	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151900	NA	NA	NA
193	AMB_133	Amboseli	TRUE	TRUE	F	recent	NA	0.436	0.705	99.26		this_study		SRR1688525	NA	NA
194	AMB_157	Amboseli	TRUE	TRUE	M	recent	NA	0.435	0.941	99.26		this_study		NA	NA	NA
195	AMB_043	Amboseli	TRUE	TRUE	F	recent	NA	0.435	1.45	99.27		this_study		SRR1688507	NA	NA
196	AMB_185	Amboseli	TRUE	TRUE	F	recent	NA	0.434	0.974	99.35		this_study		NA	NA	NA
197	AMB_218	Amboseli	TRUE	TRUE	M	recent	NA	0.434	1.109	99.21		this_study		NA	NA	SRR14608221
198	AMB_384	Amboseli	TRUE	TRUE	F	recent	NA	0.433	0.868	99.06		this_study		NA	NA	NA
199	AMB_014	Amboseli	TRUE	TRUE	M	recent	NA	0.433	0.823	99.26		this_study		NA	SRR7510451	NA
200	AMB_180	Amboseli	TRUE	TRUE	M	recent	NA	0.431	0.873	99.26		this_study		NA	NA	NA
201	AMB_261	Amboseli	TRUE	TRUE	F	recent	NA	0.43	1.076	99.12		this_study		NA	NA	NA
202	AMB_139	Amboseli	TRUE	TRUE	F	recent	NA	0.43	0.831	99.3		this_study		NA	NA	NA
203	AMB_323	Amboseli	TRUE	TRUE	F	recent	NA	0.43	0.717	67.1		this_study		NA	NA	NA
204	AMB_260	Amboseli	TRUE	TRUE	M	recent	NA	0.429	0.76	99.12		this_study		NA	NA	NA
205	AMB_207	Amboseli	TRUE	TRUE	M	recent	NA	0.427	1.113	99.23		this_study		SRR1688483	NA	NA
206	AMB_040	Amboseli	TRUE	TRUE	F	recent	NA	0.423	0.883	99.25		this_study		NA	NA	NA
207	AMB_282	Amboseli	TRUE	TRUE	F	recent	NA	0.422	1.241	99.29		this_study		NA	NA	NA
208	AMB_066	Amboseli	TRUE	TRUE	F	recent	NA	0.421	0.77	99.29		this_study		NA	NA	NA
209	AMB_035	Amboseli	TRUE	FALSE	NA	NA	NA	0.421	1.095	99.04		this_study		NA	NA	SRR14608243
210	AMB_294	Amboseli	TRUE	TRUE	F	recent	NA	0.421	1.31	99.3	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151898	NA	NA	NA
211	AMB_358	Amboseli	TRUE	TRUE	F	recent	NA	0.421	0.959	99.17		this_study		NA	NA	SRR14608256
212	AMB_003	Amboseli	TRUE	TRUE	M	recent	NA	0.421	0.81	99.1		this_study		NA	SRR7510410	NA
213	AMB_401	Amboseli	TRUE	TRUE	M	recent	NA	0.42	0.767	99.08		this_study		NA	NA	SRR14608239
214	AMB_255	Amboseli	TRUE	TRUE	M	recent	NA	0.419	1.028	99.21		this_study		NA	NA	NA
215	AMB_115	Amboseli	TRUE	TRUE	M	recent	NA	0.415	0.802	99.24		this_study		NA	NA	NA
216	AMB_266	Amboseli	TRUE	TRUE	F	recent	NA	0.415	1.344	99.3		this_study		NA	NA	NA
217	AMB_046	Amboseli	TRUE	TRUE	F	recent	NA	0.415	1.14	99.33		this_study		NA	SRR7510476	NA
218	AMB_045	Amboseli	TRUE	TRUE	F	recent	NA	0.411	1.135	99.3		this_study		NA	SRR7510478	NA
219	AMB_243	Amboseli	TRUE	TRUE	F	recent	NA	0.408	0.763	99.24		this_study		NA	NA	SRR14608254
220	AMB_410	Amboseli	TRUE	TRUE	M	recent	NA	0.408	0.987	99.2		this_study		NA	NA	SRR14608245
221	AMB_432	Amboseli	TRUE	TRUE	F	recent	NA	0.408	1.013	98.97		this_study		NA	NA	SRR14608223
222	AMB_350	Amboseli	TRUE	TRUE	F	recent	NA	0.403	1.068	99.2		this_study		NA	NA	SRR14608278
223	AMB_280	Amboseli	TRUE	TRUE	F	recent	NA	0.4	1.084	99.3		this_study		NA	SRR7510415	NA
224	AMB_295	Amboseli	TRUE	TRUE	M	NA	NA	0.398	1.378	98.95	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151899	NA	NA	NA
225	AMB_194	Amboseli	TRUE	TRUE	F	recent	NA	0.397	0.904	99.28		this_study		NA	NA	NA
226	AMB_338	Amboseli	TRUE	TRUE	F	recent	NA	0.396	0.824	99.05		this_study		NA	NA	SRR14608282
227	AMB_051	Amboseli	TRUE	TRUE	F	recent	NA	0.395	1.066	99.34		this_study		SRR1688527	NA	NA
228	AMB_275	Amboseli	TRUE	TRUE	M	NA	NA	0.394	1.048	99.14		this_study		NA	NA	NA
229	AMB_048	Amboseli	TRUE	TRUE	F	recent	NA	0.394	1.045	99.29		this_study		NA	SRR7510482	NA
230	AMB_356	Amboseli	TRUE	TRUE	F	recent	NA	0.394	0.861	99.21		this_study		NA	NA	SRR14608271
231	AMB_077	Amboseli	TRUE	TRUE	F	NA	NA	0.392	1.271	99.29		this_study		SRR1688517	NA	NA
232	AMB_235	Amboseli	TRUE	TRUE	F	recent	NA	0.392	1.352	99.3		this_study		SRR1688515	NA	NA
233	AMB_119	Amboseli	TRUE	TRUE	M	recent	NA	0.391	0.846	99.26		this_study		SRR1688499	NA	NA
234	AMB_063	Amboseli	TRUE	TRUE	M	recent	NA	0.389	1.006	99.24		this_study		NA	NA	NA
235	AMB_015	Amboseli	TRUE	TRUE	F	recent	NA	0.388	1.07	99.31		this_study		NA	NA	NA
236	AMB_342	Amboseli	TRUE	TRUE	F	NA	NA	0.385	0.97	99.29		this_study		NA	NA	NA
237	AMB_059	Amboseli	TRUE	TRUE	F	recent	NA	0.384	1.032	99.31		this_study		NA	NA	NA
238	AMB_013	Amboseli	TRUE	TRUE	F	NA	NA	0.383	1.175	99.17		this_study		SRR1688522	NA	NA
239	AMB_405	Amboseli	TRUE	TRUE	F	recent	NA	0.383	0.87	99.2		this_study		NA	NA	SRR14608249
240	AMB_019	Amboseli	TRUE	TRUE	F	NA	NA	0.383	0.995	99.26		this_study		SRR1688536	NA	NA
241	AMB_054	Amboseli	TRUE	TRUE	M	recent	NA	0.382	1.228	99.09		this_study		SRR1688514	SRR7510474	NA
242	AMB_150	Amboseli	TRUE	TRUE	M	NA	NA	0.381	1.294	99.3		this_study		NA	NA	NA
243	AMB_241	Amboseli	TRUE	TRUE	F	recent	NA	0.378	1.028	98.31		this_study		NA	NA	SRR14608211
244	AMB_131	Amboseli	TRUE	TRUE	F	NA	NA	0.378	1.326	99.3		this_study		SRR1688502	NA	NA
245	AMB_305	Amboseli	TRUE	TRUE	F	NA	NA	0.377	1.531	99.3	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151910	NA	NA	NA
246	AMB_327	Amboseli	TRUE	TRUE	M	recent	NA	0.377	0.825	94.63		this_study		NA	NA	NA
247	AMB_029	Amboseli	TRUE	TRUE	F	recent	NA	0.376	1.556	99.3		this_study		SRR1688518	NA	NA
248	AMB_321	Amboseli	TRUE	TRUE	F	recent	NA	0.375	1.116	99.05		this_study		NA	NA	SRR14608284
249	AMB_403	Amboseli	TRUE	TRUE	M	recent	NA	0.374	0.76	98.88		this_study		NA	SRR7510469	NA
250	AMB_129	Amboseli	TRUE	TRUE	M	recent	NA	0.373	1.388	99.32		this_study		SRR1688493	NA	NA
251	AMB_152	Amboseli	TRUE	FALSE	NA	NA	NA	0.372	1.092	99.24		this_study		NA	SRR7510383	NA
252	AMB_388	Amboseli	TRUE	TRUE	F	NA	NA	0.371	0.919	99.17		this_study		NA	NA	SRR14608215
253	AMB_376	Amboseli	TRUE	TRUE	M	NA	NA	0.369	0.778	99.11		this_study		NA	NA	NA
254	AMB_071	Amboseli	TRUE	TRUE	F	recent	NA	0.368	1.092	99.29		this_study		NA	SRR7510486	NA
255	AMB_257	Amboseli	TRUE	TRUE	F	NA	NA	0.368	1.349	99.31		this_study		NA	NA	NA
256	AMB_219	Amboseli	TRUE	TRUE	M	NA	NA	0.368	1.067	99.26		this_study		NA	NA	NA
257	AMB_025	Amboseli	TRUE	TRUE	M	recent	NA	0.368	1.069	98.98		this_study		NA	SRR7510459	NA
258	AMB_186	Amboseli	TRUE	TRUE	F	NA	NA	0.367	0.838	99.26		this_study		NA	NA	NA
259	AMB_411	Amboseli	TRUE	TRUE	M	recent	NA	0.364	0.933	99.15		this_study		NA	NA	SRR14608213
260	AMB_291	Amboseli	TRUE	TRUE	F	NA	NA	0.364	2.062	99.22	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151895	NA	NA	NA
261	AMB_224	Amboseli	TRUE	TRUE	M	recent	NA	0.361	1.21	99.24		this_study		NA	SRR7510435	NA
262	AMB_017	Amboseli	TRUE	TRUE	M	NA	NA	0.36	1.298	99.22		this_study		SRR1688523	NA	NA
263	AMB_229	Amboseli	TRUE	TRUE	M	recent	NA	0.36	1.036	99.3		this_study		NA	NA	NA
264	AMB_254	Amboseli	TRUE	TRUE	M	NA	NA	0.358	1.069	99.27		this_study		NA	NA	NA
265	AMB_278	Amboseli	TRUE	TRUE	F	recent	NA	0.357	0.962	99.33		this_study		NA	SRR7510417	NA
266	AMB_016	Amboseli	TRUE	TRUE	M	NA	NA	0.356	1.263	99.25		this_study		SRR1688539	NA	NA
267	AMB_191	Amboseli	TRUE	TRUE	M	recent	NA	0.356	1.053	99.26		this_study		SRR1688520	NA	NA
268	AMB_330	Amboseli	TRUE	TRUE	M	NA	NA	0.352	0.976	99.16		this_study		NA	NA	NA
269	AMB_222	Amboseli	TRUE	TRUE	M	NA	NA	0.352	0.92	99.23		this_study		SRR1688482	NA	NA
270	AMB_121	Amboseli	TRUE	TRUE	M	recent	NA	0.35	1.197	99.24		this_study		SRR1688519	SRR7510503	NA
271	AMB_319	Amboseli	TRUE	TRUE	M	historical	NA	0.348	0.664	99.3		this_study		NA	NA	NA
272	AMB_144	Amboseli	TRUE	TRUE	F	historical	NA	0.348	1.086	99.31		this_study		NA	NA	NA
273	AMB_176	Amboseli	TRUE	TRUE	M	recent	NA	0.348	1.157	99.27		this_study		SRR1688492	NA	NA
274	AMB_107	Amboseli	TRUE	TRUE	M	historical	NA	0.346	0.954	99.3		this_study		NA	SRR7510501	NA
275	AMB_413	Amboseli	TRUE	TRUE	F	historical	NA	0.344	1.036	99.16		this_study		NA	NA	SRR14608219
276	AMB_242	Amboseli	TRUE	TRUE	F	historical	NA	0.344	0.874	99.28		this_study		NA	NA	NA
277	AMB_252	Amboseli	TRUE	TRUE	F	historical	NA	0.343	0.984	86.46		this_study		NA	NA	NA
278	AMB_352	Amboseli	TRUE	TRUE	F	historical	NA	0.343	1.104	99.17		this_study		NA	NA	NA
279	AMB_253	Amboseli	TRUE	TRUE	M	historical	NA	0.342	0.766	99.28		this_study		NA	NA	NA
280	AMB_111	Amboseli	TRUE	TRUE	F	historical	NA	0.341	1.094	99.3		this_study		NA	NA	NA
281	AMB_087	Amboseli	TRUE	TRUE	M	historical	NA	0.34	0.738	99.3		this_study		SRR1688534	NA	NA
282	AMB_276	Amboseli	TRUE	TRUE	F	recent	NA	0.339	1.173	99.34		this_study		NA	NA	NA
283	AMB_206	Amboseli	TRUE	TRUE	M	recent	NA	0.339	1.294	99.28		this_study		NA	SRR7510402	NA
284	AMB_188	Amboseli	TRUE	TRUE	F	historical	NA	0.338	0.921	98.76		this_study		NA	NA	NA
285	AMB_426	Amboseli	TRUE	TRUE	M	historical	NA	0.337	0.945	99.15		this_study		NA	SRR7510406	NA
286	AMB_187	Amboseli	TRUE	TRUE	M	historical	NA	0.337	1.255	99.12		this_study		NA	NA	NA
287	AMB_084	Amboseli	TRUE	TRUE	M	historical	NA	0.337	0.741	99.2		this_study		NA	NA	NA
288	AMB_277	Amboseli	TRUE	TRUE	M	recent	NA	0.336	1.042	99.29		this_study		NA	NA	NA
289	AMB_210	Amboseli	TRUE	TRUE	F	historical	NA	0.336	1.052	99.25		this_study		NA	NA	NA
290	AMB_250	Amboseli	TRUE	TRUE	F	historical	NA	0.333	0.95	99.26		this_study		NA	NA	NA
291	AMB_089	Amboseli	TRUE	TRUE	M	historical	NA	0.332	1.01	99.24		this_study		NA	NA	NA
292	AMB_306	Amboseli	TRUE	TRUE	M	historical	NA	0.331	2.903	99.24	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151911	NA	NA	NA
293	AMB_436	Amboseli	TRUE	TRUE	M	historical	NA	0.33	0.999	98.9		this_study		NA	NA	NA
294	AMB_225	Amboseli	TRUE	TRUE	M	historical	NA	0.33	1.118	99.06		this_study		NA	NA	NA
