gene_ID	length
ACOT4	1741.5
ACOT6	1237
ACOT7	1637.5
ACOT8	1890
ACOT9	2164.16666666667
ACOX1	6122.33333333333
ACOX2	2297.2
ACOX3	3158.6
ACP1	1406.4
ACP2	2192
ACP3	1844
ACP4	1469
ACP5	1615.5
ACP6	4598
ACP7	2589.2
ACRBP	1932
ACRV1	1404
ACSBG1	3924.5
ACSBG2	2707.8
ACSF2	1966.5
ACSF3	6244
ACSL1	4139.33333333333
ACSL3	4023
ACSL4	5490.71428571429
ACSL5	3493.25
ACSL6	5809.14285714286
ACSM1	2287.5
ACSM2B	3079
ACSM3	2134.28571428571
ACSM4	1795
ACSM5	2481.25
ACSS1	3980.66666666667
ACSS2	2861.27272727273
ACSS3	5087
ACTA1	1523
ACTA2	1576
ACTB	2063
ACTB_1	323
ACTBL2	3086.2
ACTC1	1965
ACTG1	2011
ACTG2	1508
ACTL10	2027
ACTL6A	1939.33333333333
ACTL6B	1523.5
ACTL7A	1523
ACTL7B	2450
ACTL8	2805
ACTL9	1797
ACTN1	3620.25
ACTN2	3177.33333333333
ACTN3	2918
ACTN4	3917.4
ACTR10	1545.33333333333
ACTR1A	2863.5
ACTR1B	2169.5
ACTR2	4987
ACTR3	3740.5
ACTR3B	2310.09090909091
ACTR5	2292
ACTR6	1813
ACTR8	2144
ACTRT2	1427
ACTRT3	2611
ACVR1	3148.375
ACVR1B	2957.66666666667
ACVR1C	9273
ACVR2A	3406
ACVR2B	12654
ACVRL1	4308.25
ACYP1	950.5
ACYP2	946.5
ADA	2117.33333333333
ADA2	2147
ADAD1	2120.5
ADAD2	2621
ADAL	2719.6
ADAM10	3254.5
ADAM11	3975.5
ADAM12	8111.66666666667
ADAM15	2770.77777777778
ADAM17	3808.66666666667
ADAM18	2508.375
ADAM19	5167.2
ADAM2	2659
ADAM20	7137
ADAM22	9285.16666666667
ADAM23	6262.33333333333
ADAM28	4468
ADAM29	3009
ADAM30	4287
ADAM32	3811
ADAM33	2563
ADAM7	2985
ADAM8	3132.57142857143
ADAM9	3831.5
ADAMDEC1	2328
ADAMTS1	4609
ADAMTS10	5076.83333333333
ADAMTS12	8800
ADAMTS13	4772
ADAMTS14	4821.33333333333
ADAMTS15	6084
ADAMTS16	4974
ADAMTS17	7381.5
ADAMTS18	5490.66666666667
ADAMTS19	6604
ADAMTS2	5093
ADAMTS20	7681
ADAMTS3	6223
ADAMTS4	4502
ADAMTS5	5739
ADAMTS6	6291.57142857143
ADAMTS7	5631.66666666667
ADAMTS8	3996
ADAMTS9	7339.66666666667
ADAMTSL1	10226
ADAMTSL2	3253.25
ADAMTSL4	4531
ADAP1	2158.66666666667
ADAP2	2276.75
ADAR	6527.33333333333
ADARB1	3499.88888888889
ADARB2	8359
ADAT1	2323.5
ADAT2	1596.6
ADAT3	1538
ADCK1	2182.4
ADCK2	2263
ADCK5	1988.33333333333
ADCY1	9654
ADCY10	6303.2
ADCY2	4082.42857142857
ADCY3	4307.16666666667
ADCY4	3537.66666666667
ADCY5	6696
ADCY6	5843.25
ADCY7	4966.1
ADCY8	5289.33333333333
ADCY9	7549.66666666667
ADCYAP1	3527
ADCYAP1R1	6586.66666666667
ADD1	4048.38461538462
ADD2	9202.25
ADD3	4186.5
ADGB	6185.66666666667
ADGRA2	5893.5
ADGRA3	4554
ADGRB1	5681
ADGRB2	4893.1
ADGRB3	5257.5
ADGRD1	6207.88888888889
ADGRD2	3024
ADGRE1	2777
ADGRE2	3336
ADGRE5	3200
ADGRF1	5734
ADGRF2	3890
ADGRF3	4002.47058823529
ADGRF4	7764
ADGRF5	5882.14285714286
ADGRG1	3909.66666666667
ADGRG2	4558.875
ADGRG3	2685.8
ADGRG4	11963
ADGRG5	3280.36842105263
ADGRG6	4774.9
ADGRG7	7220
ADGRL1	8060
ADGRL2	5127.6
ADGRL3	7863.86666666667
ADGRL4	2796
ADGRV1	19284.5
ADH4	1547
ADH5	1498
ADH6	2793
ADH7	2505
ADHFE1	1855.5
ADI1	1563
ADIPOQ	983
ADIPOR1	2116
ADIPOR2	2751.5
ADIRF	2493
ADK	1719.33333333333
ADM	1634
ADM2	1736
ADM5	601
ADNP	6559.4
ADNP2	5458
ADO	3930
ADORA1	2703.5
ADORA2A	2687.125
ADORA2B	1725
ADPGK	2543.23529411765
ADPRH	3798.5
ADPRHL1	3050
ADPRM	1551.25
ADPRS	1685
ADRA1A	16454
ADRA1B	2503
ADRA1D	2890
ADRA2A	3914
ADRA2B	3268
ADRA2C	2187
ADRB1	2978
ADRB2	2372
ADRB3	2765
ADRM1	1761.66666666667
ADSL	1649.5
ADSS1	1748
ADSS2	2232.5
ADTRP	3172.25
AEBP1	4145
AEBP2	3026
AEN	3765.5
AFAP1	6268.6
AFAP1L1	3503
AFAP1L2	3916
AFDN	7750.33333333333
AFF1	8708.09090909091
AFF2	5916.33333333333
AFF3	10128.6
AFF4	6591
AFG1L	3151.30769230769
AFG3L2	3994.5
AFM	1863.5
AFMID	1208.75
AFP	3831
AFTPH	3918.66666666667
AGA	1580
AGAP1	10897.9090909091
AGAP2	4491.25
AGAP3	3430
AGBL1	3654
AGBL2	3758.6
AGBL3	2836.5
AGBL4	2583.625
AGBL5	3186.28571428571
AGFG1	8696.55555555555
AGFG2	4903.5
AGGF1	4455
AGK	2858.4
AGL	7176
AGMAT	1415.5
AGMO	3955.75
AGO1	8666.2
AGO2	14554
AGO4	5337
AGPAT2	1554
AGPAT3	5831
AGPAT4	7869.5
AGPAT5	5422
AGPS	4075.33333333333
AGR3	783.5
AGRN	7406
AGRP	1723
AGT	2403
AGTPBP1	4390
AGTR1	2258.25
AGTR2	2942
AGTRAP	1216
AGXT	1574
AGXT2	2218.75
AHCTF1	7616
AHCY	2569.33333333333
AHCYL1	4559.33333333333
AHCYL2	4903.44444444444
AHDC1	6044
AHI1	4435.30434782609
AHNAK	18479
AHNAK2	17055
AHR	6291
AHSA1	1306
AHSA2P	1231
AHSG	1696
AHSP	599.666666666667
AICDA	2390
AIDA	2835
AIF1L	3413.5
AIFM1	2238
AIFM2	1675.66666666667
AIFM3	2314.53846153846
AIG1	2031.25
AIM2	1569.71428571429
AIMP1	1891.5
AIMP2	1277.33333333333
AIP	1116.66666666667
AIPL1	1709
AIRE	2746
AJAP1	2678
AJM1	5811.5
AJUBA	3707.5
AK1	899
AK2	2295.33333333333
AK3	2580.33333333333
AK4	6712
AK5	3146
AK6	848
AK7	3172
AK8	1745
AK9	4398.08333333333
AKAIN1	2270.66666666667
AKAP1	4275.2
AKAP10	3805.5
AKAP11	9793.75
AKAP12	8623.4
AKAP13	14226.3333333333
AKAP14	941.333333333333
AKAP17A	4069
AKAP3	3091.6
AKAP4	2900.66666666667
AKAP5	2788
AKAP6	10950
AKAP7	3817.16666666667
AKAP8	2484.66666666667
AKAP8L	2278.66666666667
AKAP9	12864.3125
AKIP1	1127.25
AKIRIN1	1653.5
AKIRIN2	1854
AKNA	6856.625
AKNAD1	2655.88888888889
AKR1A1	1307.8
AKR1B1	1381
AKR1B10	1387
AKR1D1	2370
AKR1E2	1572.75
AKT1	2749.5
AKT1S1	2030.66666666667
AKT2	3230.4
AKT3	5040.25
AKTIP	2035
ALAD	3214
ALAS1	2069.4
ALAS2	2011
ALB	2240
ALCAM	4654
ALDH16A1	2704.5
ALDH18A1	3443.44444444444
ALDH1A1	2111
ALDH1A3	3481
ALDH1B1	2651
ALDH1L1	3832.5
ALDH1L2	5549
ALDH2	2042
ALDH3A1	1938
ALDH3A2	1715.75
ALDH3B1	2930.33333333333
ALDH4A1	4262.25
ALDH5A1	4948
ALDH6A1	2706.33333333333
ALDH7A1	2346
ALDH8A1	2653
ALDH9A1	2128.5
ALDOB	1642
ALDOC	1776.66666666667
ALG1	2106
ALG11	1592
ALG12	3016.57142857143
ALG13	3394.31818181818
ALG14	1433
ALG2	1926
ALG3	1453.33333333333
ALG5	1031.66666666667
ALG6	2531
ALG8	1943.6
ALG9	3244.41666666667
ALK	5723
ALKAL1	1164.5
ALKAL2	1101.5
ALKBH1	2575
ALKBH2	1082
ALKBH3	1394.2
ALKBH4	1992
ALKBH5	3154
ALKBH6	1241.75
ALKBH7	1495
ALKBH8	4807.8
ALLC	1434
ALMS1	12062
ALOX12	2387
ALOX12B	2603
ALOX15	2674
ALOX15B	2660
ALOX5	2385
ALOX5AP	894
ALOXE3	3587
ALPK1	5093.42307692308
ALPK2	8379.33333333333
ALPK3	11360.6666666667
ALPL	2536.66666666667
ALS2	6730.11111111111
ALS2CL	5972
ALX1	1462
ALX3	1927
ALX4	5823
ALYREF	1357
AMACR	1303
AMBN	2264
AMBP	1414
AMBRA1	5060
AMD1	3401
AMDHD1	2124
AMDHD2	3157
AMELX	814
AMER1	3721
AMER2	9961.5
AMER3	5384.66666666667
AMFR	3262
AMH	1903
AMHR2	2931.28571428571
AMIGO1	5165
AMIGO2	3053
AMIGO3	3656
AMMECR1	2967.75
AMMECR1L	5093
AMN	3285.25
AMN1	2346.375
AMOT	7779.25
AMOTL1	9122.83333333333
AMOTL2	4462.25
AMPD1	2387
AMPD2	4239.33333333333
AMPD3	3193
AMPH	3337.5
AMT	1719.66666666667
AMTN	5125
AMZ1	4018.5
AMZ2	1618.14285714286
ANAPC1	6084.625
ANAPC10	1452.5
ANAPC11	730.666666666667
ANAPC13	1294
ANAPC15	948.555555555556
ANAPC16	1261.66666666667
ANAPC2	4042
ANAPC4	2531.25
ANAPC5	2269.2
ANAPC7	2417.33333333333
ANG	978.5
ANGEL1	4236.77777777778
ANGEL2	4582.75
ANGPT1	4701.33333333333
ANGPT2	5460
ANGPT4	5109
ANGPTL1	2761
ANGPTL2	3514
ANGPTL3	2419
ANGPTL4	1878
ANGPTL5	2399
ANGPTL6	2481
ANGPTL7	2370
ANGPTL8	877
ANHX	3073
ANK1	7833.82608695652
ANK2	8832.84
ANK3	17185.0588235294
ANKAR	4537
ANKDD1A	3317.71428571429
ANKDD1B	3070.28571428571
ANKEF1	4427.5
ANKFN1	17101
ANKFY1	7426.33333333333
ANKH	8251
ANKIB1	6166.33333333333
ANKK1	2356
ANKLE1	2536.71428571429
ANKLE2	4457
ANKMY1	3415
ANKMY2	2545
ANKRA2	1683.33333333333
ANKRD1	1954
ANKRD10	2106
ANKRD11	9699.45454545455
ANKRD12	8471.8
ANKRD13A	3448.28571428571
ANKRD13B	3381.5
ANKRD13C	4035.66666666667
ANKRD13D	3004.66666666667
ANKRD16	1747.8
ANKRD17	8933
ANKRD2	2129
ANKRD22	2515
ANKRD23	4115
ANKRD24	4145.66666666667
ANKRD26	7271.82352941176
ANKRD27	4397.25
ANKRD28	6011.33333333333
ANKRD29	4063.2
ANKRD30A	3068.5
ANKRD31	5990
ANKRD33	815
ANKRD33B	9632.5
ANKRD34B	4156.71428571429
ANKRD34C	5508
ANKRD37	3026
ANKRD39	863
ANKRD40	4128
ANKRD40CL	556.5
ANKRD42	2743.36363636364
ANKRD44	6068
ANKRD45	1961.4
ANKRD46	2911.33333333333
ANKRD49	1951.33333333333
ANKRD50	8936
ANKRD52	7684
ANKRD53	1650.33333333333
ANKRD54	2068.5
ANKRD55	2160
ANKRD6	7120
ANKRD60	1388
ANKRD61	1472
ANKRD62	4324.16666666667
ANKRD63	5581
ANKRD65	1614.8
ANKRD66	3613
ANKRD7	1311
ANKRD9	1872
ANKS1A	7611.09090909091
ANKS1B	5274
ANKS3	2876.42857142857
ANKS4B	4843
ANKS6	3671.73333333333
ANKUB1	2776
ANKZF1	2702.85714285714
ANLN	4698.4
ANO1	4897.25
ANO10	3093.83333333333
ANO2	6079
ANO3	6614
ANO4	5387.2
ANO5	6625.375
ANO6	6358.2
ANO7	3436
ANO8	4146
ANO9	1740
ANOS1	6255
ANP32A	2086
ANP32B	1479.4
ANP32E	2667.33333333333
ANPEP	3653
ANTXR1	5883.33333333333
ANTXR2	3162.6
ANTXRL	2308
ANXA1	1523
ANXA10	1395.66666666667
ANXA11	2554.3
ANXA13	1507.33333333333
ANXA3	1619
ANXA4	2138
ANXA5	1610
ANXA6	2557.33333333333
ANXA7	3259
ANXA9	2904
AOAH	2312.90909090909
AOC1	2426
AOC2	3491
AOPEP	3137.17647058824
AOX1	4502
AOX2	6002.5
AOX4	8037.5
AP1AR	2612.8
AP1B1	4784.875
AP1G1	6250.2
AP1G2	4035.5
AP1M1	2599.5
AP1M2	1477
AP1S1	1264
AP1S2	2553
AP1S3	2052
AP2A1	3391.5
AP2B1	3566.66666666667
AP2M1	2083.5
AP2S1	940
AP3B1	3770.5
AP3B2	3222.2
AP3D1	5022.5
AP3M1	3056.8
AP3M2	3372.22222222222
AP3S1	1219
AP3S2	3330.66666666667
AP4B1	2413.42857142857
AP4E1	4835
AP4M1	1671.5
AP4S1	1187
AP5B1	6994
AP5M1	7605.6
AP5S1	1768.5
AP5Z1	2776.25
APAF1	4361.66666666667
APBA1	6533
APBA2	4209
APBA3	2019.33333333333
APBB1	2921.22222222222
APBB2	6639.7
APBB3	2030.25
APC	10214.2631578947
APCDD1	2553
APCDD1L	3852
APCS	946
APEH	2835.33333333333
APELA	4518
APEX1	1438.66666666667
APEX2	2620
APH1A	1719
APH1B	4110.33333333333
API5	3132.33333333333
APIP	1397.5
APLF	1922
APLN	3366
APLNR	3874
APLP1	2478.5
APLP2	3622.5
APMAP	4619.8
APOA1	1037
APOA2	513
APOA4	1523.5
APOA5	1536.5
APOB	14057
APOBEC1	729
APOBEC2	1640
APOBEC3A	2383.4
APOBEC3C	983
APOBEC3D	1092
APOBEC3F	2169
APOBEC3G	1535
APOBEC3H	1144.625
APOBEC4	2766
APOBR	4559
APOC1	539
APOC2	1122
APOC3	547
APOC4	624
APOD	973.5
APOE	1174
APOF	1125
APOH	1194
APOL4	2027.5
APOL5	2808
APOLD1	2680
APOO	997.5
APOOL	1373
APP	3593.5
APPBP2	6231.75
APPL1	5603.5
APPL2	2878.75
APRT	843
APTX	2490.26666666667
AQP1	3031
AQP10	1108
AQP11	1359
AQP12B	3945
AQP2	4921.66666666667
AQP3	1862.5
AQP4	5260
AQP5	1434
AQP6	3466.5
AQP7	3036.33333333333
AQP8	1810.66666666667
AQR	5811.75
AR	6397
ARAF	2453
ARAP1	5073.05555555556
ARAP2	7098.22222222222
ARAP3	5141.3
ARC	2977
ARCN1	4409.5
AREG	1150
AREL1	5497.6
ARF1	1901
ARF3	3625
ARF4	2408.5
ARF5	537
ARF6	3923
ARFGAP1	3324.42105263158
ARFGAP2	2872.5
ARFGAP3	3000
ARFGEF1	6666.2
ARFGEF2	7453
ARFGEF3	9302.66666666667
ARFIP1	2942.4
ARFIP2	1594.2
ARFRP1	1674
ARG1	1520
ARG2	2295
ARGFX	704
ARGLU1	1789.25
ARHGAP1	3605.75
ARHGAP10	3009.5
ARHGAP12	4896.14285714286
ARHGAP15	1671
ARHGAP17	3529.33333333333
ARHGAP18	3636.66666666667
ARHGAP19	5756.625
ARHGAP20	5945.66666666667
ARHGAP21	7316.61538461538
ARHGAP22	4122.33333333333
ARHGAP23	5502
ARHGAP24	5184.625
ARHGAP25	5678.4
ARHGAP26	4217.78947368421
ARHGAP27	3986.125
ARHGAP28	3263.77777777778
ARHGAP29	5608.6
ARHGAP30	4146
ARHGAP31	6107
ARHGAP32	7218.66666666667
ARHGAP33	4784.83333333333
ARHGAP35	9154
ARHGAP36	2756.66666666667
ARHGAP39	4800
ARHGAP4	3689.25
ARHGAP40	4369
ARHGAP42	7850
ARHGAP44	4228
ARHGAP5	7503.4
ARHGAP6	6583.4
ARHGAP8	2241.2
ARHGAP9	2320.84615384615
ARHGDIA	1918
ARHGDIB	1651.5
ARHGEF1	3235.875
ARHGEF10	5236.28571428571
ARHGEF10L	4763.69230769231
ARHGEF11	6943.93333333333
ARHGEF12	8297.66666666667
ARHGEF15	4397.25
ARHGEF16	2884
ARHGEF17	8153
ARHGEF18	6974
ARHGEF19	3218.75
ARHGEF2	4339.47058823529
ARHGEF25	2368.75
ARHGEF26	2918
ARHGEF28	6787.8
ARHGEF3	4139.33333333333
ARHGEF33	5330.86666666667
ARHGEF37	5709
ARHGEF38	4962
ARHGEF39	1820.88888888889
ARHGEF4	6902
ARHGEF40	5220.57142857143
ARHGEF5	5532
ARHGEF6	5097
ARHGEF7	5245.02777777778
ARHGEF9	5441.5
ARID1A	7518
ARID1B	8325.42857142857
ARID2	7355
ARID3A	2644
ARID3B	2410.5
ARID3C	2577
ARID4A	5912.6
ARID4B	5475
ARID5A	2255.5
ARID5B	8215.125
ARIH1	5188
ARIH2	3978.85714285714
ARL1	3218
ARL10	2831
ARL11	1631
ARL13A	1058
ARL13B	5722.625
ARL14	1428.5
ARL14EP	2638
ARL14EPL	1644
ARL15	3055
ARL16	1151
ARL2	1045.5
ARL2BP	2010.5
ARL3	2188.33333333333
ARL4A	1358.5
ARL4C	4001
ARL4D	1872
ARL5A	7392.5
ARL5B	7852.5
ARL5C	686
ARL6	2923.5
ARL6IP1	997
ARL6IP4	2194
ARL6IP5	2487
ARL6IP6	2389.5
ARL8A	1785
ARL8B	1975.5
ARL9	1098.4
ARMC1	2952.66666666667
ARMC10	2226
ARMC12	1367
ARMC2	3251.625
ARMC3	2671
ARMC4	3158
ARMC5	4154
ARMC6	2148.8
ARMC7	1225.5
ARMC8	3461.2
ARMC9	2997.33333333333
ARMCX1	2190
ARMCX2	2867.83333333333
ARMCX3	3611.5
ARMCX4	8308
ARMCX5	2856
ARMCX6	1906
ARMH1	2564.85714285714
ARMH2	1905
ARMH3	3571.8
ARMH4	4059.33333333333
ARMS2	360
ARMT1	2590
ARNT	4698.66666666667
ARNT2	6484.83333333333
ARNTL	2844.0652173913
ARNTL2	2338
ARPC1A	1839.5
ARPC1B	1653
ARPC2	1608.75
ARPC3	917
ARPC4	1583.5
ARPC5	2055
ARPC5L	1390
ARPP21	4422.2380952381
ARR3	1212
ARRB1	5584.4
ARRB2	1949
ARRDC2	2945
ARRDC3	4132.66666666667
ARRDC4	4055
ARRDC5	1251
ARSA	2368.8
ARSB	4348.8
ARSD	4025
ARSF	2256.4
ARSG	2729.44
ARSH	3493
ARSI	3137
ARSJ	12377
ARSK	3321
ARSL	2158.9
ART1	4235.2
ART3	1786.66666666667
ART4	2353
ART5	1468.47058823529
ARTN	2425.5
ARV1	1324
ARVCF	3607.11111111111
ARX	2847
AS3MT	1758
ASAH1	2911
ASAH2	7338
ASAP1	5674.16666666667
ASAP2	5524.42857142857
ASAP3	4105
ASB1	3468.66666666667
ASB10	2649.5
ASB11	2169.5
ASB12	1246
ASB13	2428.5
ASB14	2999
ASB15	4891.14285714286
ASB16	2374
ASB17	1099
ASB18	2715
ASB2	2832
ASB4	4657
ASB5	3555.625
ASB6	3540
ASB7	5066
ASB8	1721.125
ASB9	1791.33333333333
ASCC1	2035
ASCC2	2732.88888888889
ASCC3	7202
ASCL1	2504
ASCL2	1863
ASCL3	1163
ASCL4	5390
ASCL5	1415
ASDURF	675
ASF1A	1195
ASF1B	2531
ASGR1	1420
ASGR2	1681
ASH1L	11871.7857142857
ASH2L	3267.11111111111
ASIC1	4475.66666666667
ASIC2	3540.5
ASIC3	2307.6
ASIC4	1610
ASIC5	2548
ASIP	972.75
ASL	1478.66666666667
ASMT	1604
ASNS	2092.4
ASNSD1	2380
ASPA	2058.25
ASPDH	1469.75
ASPG	1950.25
ASPH	6112.36363636364
ASPHD1	1381
ASPHD2	3661.5
ASPM	13455.6666666667
ASPN	2508
ASPRV1	4881
ASPSCR1	2372.16666666667
ASRGL1	2308
ASS1	1583
ASTE1	2359.25
ASTL	3306
ASTN1	6461
ASTN2	3525.16666666667
ASXL1	6786.23076923077
ASXL2	7437.42857142857
ASXL3	12757.75
ASZ1	1679
ATAD1	3051.66666666667
ATAD2	5823.75
ATAD2B	9064.125
ATAD3A	2544.66666666667
ATAD5	6762.5
ATAT1	2712.6
ATCAY	2274
ATE1	3744.4
ATF1	2946.05263157895
ATF2	3653.75
ATF3	3596.33333333333
ATF4	2740
ATF5	2414.5
ATF6	5947.25
ATF7	6168.125
ATF7IP	6548.25
ATF7IP2	3885.75
ATG10	3002.90909090909
ATG101	1492
ATG12	3935
ATG13	4038
ATG14	4741
ATG16L1	3368
ATG16L2	2486.88888888889
ATG2A	6408.1
ATG2B	7706
ATG3	1312.5
ATG4A	2377
ATG4B	2137.75
ATG4C	2001.81818181818
ATG4D	1858
ATG5	3167
ATG7	2450.63636363636
ATG9A	3849.83333333333
ATG9B	6446.5
ATIC	3229
ATL1	2412.66666666667
ATL2	3757.375
ATL3	2291
ATM	12988.9
ATMIN	4939.6
ATN1	4372
ATOH1	3338
ATOH7	1843
ATOH8	3612.5
ATP10A	4814.77777777778
ATP10B	7447.5
ATP10D	6128.5
ATP11A	4761
ATP11B	9592.33333333333
ATP11C	5695.60869565217
ATP13A1	4226.14285714286
ATP13A2	3937.33333333333
ATP13A3	7039
ATP13A4	7268.4
ATP13A5	5194
ATP1A1	3724
ATP1A2	5433
ATP1A3	3569
ATP1A4	2565.16666666667
ATP1B1	2578
ATP1B2	1615
ATP1B3	1588.66666666667
ATP1B4	4934.5
ATP23	1001.33333333333
ATP2A1	4063
ATP2A2	3746
ATP2A3	4316.66666666667
ATP2B1	6749.77777777778
ATP2B2	7964.78571428571
ATP2B3	2394
ATP2B4	7857.11111111111
ATP2C1	3661.16666666667
ATP2C2	3534.8
ATP4A	3307
ATP4B	2477
ATP5C1	512
ATP5F1A	1902
ATP5F1B	1839
ATP5F1C	1141.5
ATP5F1E	430
ATP5IF1	936
ATP5MC1	576
ATP5MC2	1640.66666666667
ATP5MC3	994
ATP5MD	468
ATP5ME	276
ATP5MF	517
ATP5MG	685
ATP5MPL	443
ATP5PB	1312
ATP5PD	663.666666666667
ATP5PF	585
ATP5PO	635
ATP6AP1	1403
ATP6AP1L	1679.27272727273
ATP6AP2	2097
ATP6V0A1	3911.14285714286
ATP6V0A2	4525.5
ATP6V0A4	3028
ATP6V0B	1570.25
ATP6V0C	1324
ATP6V0D1	1664.75
ATP6V0D2	1483
ATP6V0E1	1414
ATP6V1A	4529.5
ATP6V1B1	1622
ATP6V1B2	2898
ATP6V1C1	5669.66666666667
ATP6V1C2	2832
ATP6V1D	1528
ATP6V1E1	1358
ATP6V1E2	4958.07692307692
ATP6V1F	1195.5
ATP6V1FNB	1045
ATP6V1G1	1234
ATP6V1G3	640
ATP6V1H	2291
ATP7A	6073.5
ATP7B	7137
ATP8A1	9239.22222222222
ATP8A2	3966
ATP8B1	5078.25
ATP8B2	5096.2
ATP8B3	5236.14285714286
ATP9A	8068
ATP9B	3813.26666666667
ATPAF1	2469.25
ATPAF2	1474.6
ATPSCKMT	2016
ATR	7840.75
ATRAID	1068.33333333333
ATRIP	2605.25
ATRN	5779.33333333333
ATRNL1	6151.83333333333
ATRX	10523
ATXN1	12341.8333333333
ATXN10	3005
ATXN1L	5593.66666666667
ATXN2	4540.35
ATXN2L	4017.33333333333
ATXN3	1237.14285714286
ATXN3L	1675
ATXN7	7691.23529411765
ATXN7L1	4402.95454545455
ATXN7L2	2896.77777777778
ATXN7L3	4110
ATXN7L3B	3713
AUH	1566.5
AUNIP	1751.1
AURKA	2043.2
AURKAIP1	1065.33333333333
AURKB	1128
AURKC	1540
AUTS2	7726.85714285714
AVEN	1591
AVIL	4156
AVL9	6451.75
AVP	766
AVPI1	1351
AVPR1A	7179
AVPR1B	7689
AVPR2	1484.5
AWAT1	2662
AWAT2	3461
AXDND1	3236.875
AXIN2	3528.83333333333
AXL	4420.66666666667
AZGP1	1373
AZI2	1998
AZIN1	4686.66666666667
AZIN2	2032.16666666667
B2M	627.5
B3GALNT1	3376.47058823529
B3GALNT2	4796.5
B3GALT1	5956.54545454545
B3GALT2	3266
B3GALT4	1737
B3GALT5	15739
B3GALT6	1895
B3GAT1	4199.25
B3GAT2	4771.5
B3GAT3	1496.75
B3GLCT	3258.42857142857
B3GNT2	2749
B3GNT3	2985
B3GNT4	2239.5
B3GNT5	4559
B3GNT6	3163
B3GNT7	4711.33333333333
B3GNT8	2488
B3GNT9	3413
B3GNTL1	2279.5
B4GALNT1	5352
B4GALNT2	8739
B4GALNT3	1346
B4GALNT4	3735
B4GALT1	4238
B4GALT2	3096
B4GALT3	1817
B4GALT4	2491
B4GALT5	2920.6
B4GALT6	4851
B4GALT7	1724
B4GAT1	2088
B9D1	1574.66666666667
B9D2	1183.5
BAALC	3128
BAAT	3141
BABAM1	1440.25
BABAM2	2048.26666666667
BACE1	5794
BACE2	2849.66666666667
BACH1	5997.8
